UA-Ange: 0, ForearmStretched: 200, Forearm: 79, LeftArm? Yes
Time, EMG-Signal, Force-Value, Elbow-Angle, Transformed-Angle, MotorTarget
28.35811, 123, 443, 144, -41.65289, 180
28.37989, 107, 445, 150, -37.19008, 180
28.39836, 89, 447, 159, -30.49587, 180
28.41853, 97, 451, 160, -29.75207, 180
28.439, 108, 455, 160, -29.75207, 180
28.45947, 125, 459, 159, -30.49587, 180
28.47797, 155, 460, 162, -28.26446, 180
28.49624, 196, 461, 163, -27.52066, 180
28.51718, 232, 459, 163, -27.52066, 180
28.53863, 272, 459, 168, -23.80165, 180
28.55815, 310, 459, 169, -23.05785, 0
28.57995, 315, 471, 132, -50.57851, 0
28.59578, 316, 475, 102, -72.89256, 0
28.61508, 320, 463, 94, -78.84297, 0
28.63544, 309, 455, 88, -83.30579, 0
28.65754, 288, 448, 82, -87.76859, 0
28.67801, 266, 444, 79, -90, 0
28.6988, 238, 437, 81, -88.5124, 0
28.71479, 216, 436, 88, -83.30579, 0
